num,cj_t,date,entry,sl,exit,R,win
1,1754068500,2025-08-01 17:15,3347.41,3339.81,3357.03,1.267,True
2,1754272800,2025-08-04 02:00,3351.12,3344.58,3353.09,0.301,True
3,1754295300,2025-08-04 08:15,3358.87,3351.24,3374.17,2.007,True
4,1754328600,2025-08-04 17:30,3372.87,3369.96,3374.11,0.428,True
5,1754346600,2025-08-04 22:30,3374.2,3373.19,3377.6,3.385,True
6,1754373600,2025-08-05 06:00,3370.78,3367.35,3367.35,-1.0,False
7,1754379000,2025-08-05 07:30,3373.42,3365.17,3365.17,-1.0,False
8,1754396100,2025-08-05 12:15,3360.77,3349.49,3381.81,1.866,True
9,1754423100,2025-08-05 19:45,3379.12,3377.83,3378.15,-0.752,False
10,1754435700,2025-08-05 23:15,3381.83,3377.96,3377.96,-1.0,False
11,1754447400,2025-08-06 02:30,3376.22,3372.81,3372.81,-1.0,False
12,1754453700,2025-08-06 04:15,3374.93,3372.98,3372.98,-1.0,False
13,1754460000,2025-08-06 06:00,3375.51,3370.25,3370.25,-1.0,False
14,1754477100,2025-08-06 10:45,3363.74,3357.68,3372.29,1.412,True
15,1754506800,2025-08-06 19:00,3371.07,3368.63,3368.63,-1.0,False
16,1754518500,2025-08-06 22:15,3371.32,3366.84,3366.84,-1.0,False
17,1754527500,2025-08-07 00:45,3372.1,3364.97,3376.49,0.615,True
18,1754548200,2025-08-07 06:30,3385.29,3371.2,3388.19,0.205,True
19,1754566200,2025-08-07 11:30,3378.94,3371.1,3374.58,-0.556,False
20,1754589600,2025-08-07 18:00,3391.41,3383.75,3387.96,-0.45,False
21,1754619300,2025-08-08 02:15,3386.74,3380.46,3389.06,0.37,True
22,1754638200,2025-08-08 07:30,3398.65,3388.22,3388.22,-1.0,False
23,1754654400,2025-08-08 12:00,3387.27,3379.99,3386.78,-0.067,False
24,1754666100,2025-08-08 15:15,3393.07,3380.14,3380.14,-1.0,False
25,1754678700,2025-08-08 18:45,3395.58,3375.59,3375.59,-1.0,False
26,1754865900,2025-08-10 22:45,3395.17,3389.78,3389.78,-1.0,False
27,1755144900,2025-08-14 04:15,3361.15,3355.23,3355.23,-1.0,False
28,1755153900,2025-08-14 06:45,3361.91,3355.46,3355.46,-1.0,False
